Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
The Art of Statistics,David Spiegelhalter,https://www.booktopia.com.au/book/9780241258750.html,ePUB,16.99,16.99,241258758,28-03-2019,Penguin Books Ltd,256
Harriet Tubman,Catherine Clinton,https://www.booktopia.com.au/book/9780759509771.html,ePUB,21.99,21.99,759509778,02-02-2004,"Little, Brown and Company",300
Dracula,Bram Stoker,https://www.booktopia.com.au/book/9780486114750.html,ePUB,1.45,1.45,486114759,06-02-2012,Dover Publications,336
The Firm,John Grisham,https://www.booktopia.com.au/book/9781407059044.html,ePUB,15.99,15.99,1407059041,21-04-2010,Random House,496
The Spy and the Traitor,Ben Macintyre,https://www.booktopia.com.au/book/9781101904190.html,Hardcover,43.75,43.75,1101904194,18-09-2018,Crown Publishing Group (NY),368
Lover Mine,J. R. Ward,https://www.booktopia.com.au/book/9780748117468.html,ePUB,11.99,11.99,748117466,06-05-2010,"Little, Brown Book Group",544
Excession,Iain M. Banks,https://www.booktopia.com.au/book/9780748110001.html,ePUB,12.99,12.99,748110003,04-09-2008,"Little, Brown Book Group",464
The Great Hunt,Robert Jordan,https://www.booktopia.com.au/book/9780356503837.html,Paperback,32.5,32.5,356503836,11-11-2014,Little Brown,720
Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,https://www.booktopia.com.au/book/9781310198373.html,ePUB,,,1310198373,17-05-2015,Talal Itani,
Going Dutch,Katie Fforde,https://www.booktopia.com.au/book/9781407011349.html,ePUB,15.99,15.99,1407011340,07-12-2010,Random House,432
A Clockwork Orange,Anthony Burgess,https://www.booktopia.com.au/book/9780141908328.html,ePUB,15.99,15.99,141908327,04-08-2011,Penguin Books Ltd,176
The Other Side of the Story,Marian Keyes,https://www.booktopia.com.au/book/9780141909653.html,ePUB,15.99,15.99,014190965X,10-03-2005,Penguin Books Ltd,656
Raise the Titanic,Clive Cussler,https://www.booktopia.com.au/book/9780748114337.html,ePUB,11.99,11.99,748114335,17-09-2009,"Little, Brown Book Group",320
Stardust,Neil Gaiman,https://www.booktopia.com.au/book/9780755322824.html,Paperback,22.99,21.9,755322827,01-05-1999,Headline,214
10 Minutes 38 Seconds in this Strange World,Elif Shafak,https://www.booktopia.com.au/book/9780241979457.html,ePUB,15.99,15.99,241979455,06-06-2019,Penguin Books Ltd,368
The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,https://www.booktopia.com.au/book/9780141965550.html,ePUB,9.99,9.99,014196555X,12-10-2010,Penguin Random House Children's UK,576
